old_fqn,new_fqn,reason
placement::follow::tests::round_trip_save_restore_value_equivalence_over_real_fs,placement::follow::drag_end_persist_tests::round_trip_save_restore_value_equivalence_over_real_fs,theme_split
placement::follow::tests::dragged_char_persists_even_without_dragging_state_at_dragend,placement::follow::drag_end_persist_tests::dragged_char_persists_even_without_dragging_state_at_dragend,theme_split
placement::follow::tests::move_window_to_updates_window_pos_physical_px,placement::follow::window_move_tests::move_window_to_updates_window_pos_physical_px,theme_split
placement::follow::tests::move_window_to_without_handle_returns_false,placement::follow::window_move_tests::move_window_to_without_handle_returns_false,theme_split
placement::follow::tests::move_window_to_on_despawned_entity_returns_false,placement::follow::window_move_tests::move_window_to_on_despawned_entity_returns_false,theme_split
placement::follow::tests::move_window_to_moves_balloon_with_offset_preserved,placement::follow::window_move_tests::move_window_to_moves_balloon_with_offset_preserved,theme_split
placement::follow::tests::move_window_to_target_without_handle_does_not_move_balloon,placement::follow::window_move_tests::move_window_to_target_without_handle_does_not_move_balloon,theme_split
placement::follow::tests::move_window_to_balloon_without_handle_still_moves_target,placement::follow::window_move_tests::move_window_to_balloon_without_handle_still_moves_target,theme_split
placement::follow::tests::work_area_for_window_picks_monitor_containing_center,placement::follow::work_area_tests::work_area_for_window_picks_monitor_containing_center,theme_split
placement::follow::tests::work_area_for_window_handles_negative_coords,placement::follow::work_area_tests::work_area_for_window_handles_negative_coords,theme_split
placement::follow::tests::work_area_for_window_boundary_center_is_half_open_and_first_match_wins,placement::follow::work_area_tests::work_area_for_window_boundary_center_is_half_open_and_first_match_wins,theme_split
placement::follow::tests::work_area_for_window_off_all_monitors_returns_nearest,placement::follow::work_area_tests::work_area_for_window_off_all_monitors_returns_nearest,theme_split
placement::follow::tests::work_area_for_window_empty_snapshot_is_none,placement::follow::work_area_tests::work_area_for_window_empty_snapshot_is_none,theme_split
placement::follow::tests::with_origin_reports_contains_when_center_belongs,placement::follow::work_area_tests::with_origin_reports_contains_when_center_belongs,theme_split
placement::follow::tests::with_origin_reports_nearest_fallback_when_center_belongs_nowhere,placement::follow::work_area_tests::with_origin_reports_nearest_fallback_when_center_belongs_nowhere,theme_split
placement::follow::tests::with_origin_empty_snapshot_is_none,placement::follow::work_area_tests::with_origin_empty_snapshot_is_none,theme_split
placement::follow::tests::work_area_for_window_delegates_to_with_origin,placement::follow::work_area_tests::work_area_for_window_delegates_to_with_origin,theme_split
placement::follow::tests::guard_keeps_position_while_still_intersecting,placement::follow::visibility_guard_tests::guard_keeps_position_while_still_intersecting,theme_split
placement::follow::tests::guard_clamps_x_on_transition_to_invisible,placement::follow::visibility_guard_tests::guard_clamps_x_on_transition_to_invisible,theme_split
placement::follow::tests::guard_respects_window_already_parked_off_screen,placement::follow::visibility_guard_tests::guard_respects_window_already_parked_off_screen,theme_split
placement::follow::tests::guard_clamps_when_old_rect_is_unknown,placement::follow::visibility_guard_tests::guard_clamps_when_old_rect_is_unknown,theme_split
placement::follow::tests::guard_clamp_handles_window_wider_than_work_area,placement::follow::visibility_guard_tests::guard_clamp_handles_window_wider_than_work_area,theme_split
placement::follow::tests::guard_empty_snapshot_keeps_position,placement::follow::visibility_guard_tests::guard_empty_snapshot_keeps_position,theme_split
placement::follow::tests::guard_clamps_balloon_rect_that_alone_becomes_invisible,placement::follow::visibility_guard_tests::guard_clamps_balloon_rect_that_alone_becomes_invisible,theme_split
placement::follow::tests::guard_keeps_balloon_rect_while_intersecting,placement::follow::visibility_guard_tests::guard_keeps_balloon_rect_while_intersecting,theme_split
placement::follow::tests::guard_respects_balloon_parked_off_screen,placement::follow::visibility_guard_tests::guard_respects_balloon_parked_off_screen,theme_split
placement::follow::tests::guard_never_modifies_y_in_any_branch,placement::follow::visibility_guard_tests::guard_never_modifies_y_in_any_branch,theme_split
placement::follow::tests::on_char_drag_syncs_arrangement_offset_of_char_and_balloon,placement::follow::window_move_tests::on_char_drag_syncs_arrangement_offset_of_char_and_balloon,theme_split
placement::follow::tests::move_window_to_syncs_arrangement_offset_of_target_and_balloon,placement::follow::window_move_tests::move_window_to_syncs_arrangement_offset_of_target_and_balloon,theme_split
placement::follow::tests::move_window_to_syncs_arrangement_offset_of_single_window,placement::follow::window_move_tests::move_window_to_syncs_arrangement_offset_of_single_window,theme_split
placement::follow::tests::enqueue_window_set_pos_none_updates_position_leaves_size,placement::follow::window_move_tests::enqueue_window_set_pos_none_updates_position_leaves_size,theme_split
placement::follow::tests::enqueue_window_set_pos_some_updates_position_and_size,placement::follow::window_move_tests::enqueue_window_set_pos_some_updates_position_and_size,theme_split
placement::follow::tests::enqueue_window_set_pos_without_handle_returns_false_and_leaves_state,placement::follow::window_move_tests::enqueue_window_set_pos_without_handle_returns_false_and_leaves_state,theme_split
placement::follow::tests::resize_window_to_bottom_resnaps_size_and_position_once,placement::follow::resize_tests::resize_window_to_bottom_resnaps_size_and_position_once,theme_split
placement::follow::tests::resize_window_to_is_idempotent_on_same_size_and_position,placement::follow::resize_tests::resize_window_to_is_idempotent_on_same_size_and_position,theme_split
